id,name,election_type,state,district,cabecera,curul
62-103,Miranda Munive Emilse,Mayoría Relativa,Hidalgo,4,Tulancingo de Bravo,G-220
62-102,Velasco Orozco Víctor Hugo,Mayoría Relativa,Hidalgo,3,Actopan,F-181
62-105,Hernández Morales Mirna Esmeralda,Mayoría Relativa,Hidalgo,6,Pachuca de Soto,G-222
62-104,Rojo García de Alba José Antonio,Mayoría Relativa,Hidalgo,5,Tula de Allende,G-219
62-107,Padilla Navarro Cesario,Mayoría Relativa,Jalisco,1,Tequila,M-494
62-106,González Vargas Francisco,Mayoría Relativa,Hidalgo,7,Tepeapulco,F-180
62-471,Murillo Karam Jesús,Representación proporcional,Hidalgo,5,,J-366
62-470,Labastida Sotelo Karina,Representación proporcional,México,5,,B-027
62-473,Macías Sandoval Raúl,Representación proporcional,México,5,,J-356
62-472,Funes Velázquez Erika Yolanda,Representación proporcional,México,5,,F-183
62-475,Ochoa González Arnoldo,Representación proporcional,Colima,5,,J-353
62-179,Orihuela García Javier,Mayoría Relativa,Morelos,2,Jiutepec,L-455
62-477,Anaya Gudiño Alfredo,Representación proporcional,Michoacán,5,,I-310
62-476,Cruz Morales Maricruz,Representación proporcional,México,5,,M-495
62-479,Acosta Peña Brasil Alberto,Representación proporcional,México,5,,L-449
62-175,Núñez Aguilar Ernesto,Mayoría Relativa,Michoacán,10,Morelia,J-346
62-176,García Conejo Antonio,Mayoría Relativa,Michoacán,11,Pátzcuaro,I-319
62-177,Ortiz García Salvador,Mayoría Relativa,Michoacán,12,Apatzingán de la Constitución,I-297
62-170,Hernández Iñiguez Adriana,Mayoría Relativa,Michoacán,5,Zamora de Hidalgo,H-252
62-171,Olvera Correa Luis,Mayoría Relativa,Michoacán,6,Ciudad Hidalgo,I-296
62-172,Esquivel Zalpa José Luis,Mayoría Relativa,Michoacán,7,Zacapu,I-318
62-173,González Farias Eligio Cuitláhuac,Mayoría Relativa,Michoacán,8,Morelia,I-294
62-578,Céspedes Ramos Brisa Esmeralda,Mayoría Relativa,Guanajuato,2,San Miguel de Allende,F-165
62-882,Tress Villafuerte María Irene Rufina,Representación proporcional,Veracruz,3,,D-089
62-674,Meza Virrueta Miroslava,Mayoría Relativa,Michoacán,9,Uruapán,I-295
62-884,Vera Ávila Diana del Carmen,Representación proporcional,Campeche,3,,D-098
62-887,Cortés Talamantes Gabriela Eugenia,Representación proporcional,Quintana Roo,3,,L-419
62-576,Solís Nogueira Eduardo,Mayoría Relativa,Durango,4,Durango,A-013
62-18,Dávila Delgado Mario Alberto,Mayoría Relativa,Coahuila,3,Monclova,G-203
62-90,Oliveros Usabiaga José Luis,Mayoría Relativa,Guanajuato,14,Acámbaro,E-126
62-92,Miranda Salgado Marino,Mayoría Relativa,Guerrero,2,Iguala,H-276
62-91,Duarte Ortuño Catalino,Mayoría Relativa,Guerrero,1,Ciudad Altamirano,L-453
62-10,Pérez Tejada Padilla David,Mayoría Relativa,Baja California,7,Mexicali,I-303
62-11,Robles Aguirre Mayra Karina,Mayoría Relativa,Baja California,8,Tijuana,B-039
62-12,Pelayo Covarrubias Francisco,Mayoría Relativa,Baja California Sur,1,Santa Rosalía,I-292
62-13,De la Rosa Escalante Arturo,Mayoría Relativa,Baja California Sur,2,La Paz,M-460
62-14,Berzunza Novelo Landy Margarita,Mayoría Relativa,Campeche,1,Campeche,L-420
62-15,Abreu Artiñano Rocío Adriana,Mayoría Relativa,Campeche,2,Ciudad del Carmen,L-421
62-16,Elizondo Ramírez Irma,Mayoría Relativa,Coahuila,1,Piedras Negras,L-425
62-17,Flores Méndez José Luis,Mayoría Relativa,Coahuila,2,San Pedro,L-424
62-974,Gutiérrez Manrique Martha,Representación proporcional,Hidalgo,5,,G-221
62-698,Soto Martínez Adriana,Mayoría Relativa,Oaxaca,1,San Juan Bautista Tuxtepec,G-240
62-752,Rodríguez Zamora Micaela,Mayoría Relativa,Sonora,6,Cd. Obregón,A-010
62-93,Blanco Deaquino Silvano,Mayoría Relativa,Guerrero,3,Zihuatanejo,A-021
62-879,Jiménez del Ángel Roberto,Representación proporcional,Guanajuato,2,,A-007
62-971,Rodríguez Calderón José Alberto,Representación proporcional,Hidalgo,5,,K-391
62-757,Narváez Romero Christian Manuel,Mayoría Relativa,Tabasco,4,Centro,I-323
62-758,Olive López Edi,Mayoría Relativa,Tabasco,5,Paraíso,I-329
62-690,Domínguez Martin del Campo Luis Fernando,Mayoría Relativa,Nuevo León,5,Monterrey,J-352
62-693,Lomelí Cervantes Simón,Mayoría Relativa,Nuevo León,8,Guadalupe,C-061
62-978,Santos de la Cruz Rocío,Representación proporcional,México,5,,L-450
62-696,Reyes Montemayor Rafael,Mayoría Relativa,Nuevo León,11,Guadalupe,M-473
62-372,González Magallanes Alfa Eliana,Representación proporcional,Coahuila,2,,D-112
62-373,Garza Ruvalcaba Marcelo,Representación proporcional,Nuevo León,2,,B-047
62-370,Ceseñas Chapa María del Socorro,Representación proporcional,Nuevo León,2,,J-369
62-371,López Suárez Roberto,Representación proporcional,Zacatecas,2,,E-150
62-376,Cuéllar Steffan Antonio,Representación proporcional,Aguascalientes,2,,H-259
62-377,García de la Fuente Mónica,Representación proporcional,Aguascalientes,2,,I-305
62-374,Anaya Gutiérrez Alberto,Representación proporcional,Nuevo León,2,,D-115
62-375,Núñez Monreal Magdalena del Socorro,Representación proporcional,Zacatecas,2,,B-049
62-273,Ruíz Arriaga Genaro,Mayoría Relativa,Veracruz,3,Tuxpan de Rodríguez Cano,K-403
62-272,Sánchez Cruz Leopoldo,Mayoría Relativa,Veracruz,2,Tantoyuca,K-400
62-271,Pazzi Maza Zita Beatriz,Mayoría Relativa,Veracruz,1,Pánuco,L-446
62-270,Algredo Jaramillo Edilberto,Mayoría Relativa,Tlaxcala,3,Zacatelco,J-367
62-277,Carreón Cervantes Verónica,Mayoría Relativa,Veracruz,7,Martínez de la Torre,L-452
62-846,López Birlain Ana Paola,Representación proporcional,Querétaro,2,,D-086
62-275,Hernández Burgos Gaudencio,Mayoría Relativa,Veracruz,5,Poza Rica de Hidalgo,K-404
62-274,Alonso Morelli Humberto,Mayoría Relativa,Veracruz,4,Veracruz,G-206
62-98,de la Rosa Peláez Sebastián Alfonso,Mayoría Relativa,Guerrero,8,Ayutla de los Libres,G-232
62-449,Arias Pallares Luis Manuel,Representación proporcional,Distrito Federal,4,,C-076
62-79,Vargas Martín del Campo Elizabeth,Mayoría Relativa,Guanajuato,3,León,I-286
62-99,Merlín García María del Rosario,Mayoría Relativa,Guerrero,9,Acapulco de Juárez,K-416
62-378,Torres Mercado Tomás,Representación proporcional,Zacatecas,2,,P-502
62-140,Díaz Trujillo Alberto,Mayoría Relativa,México,15,Tlanepantla de Baz,G-205
62-47,Huerta Ladrón de Guevara Manuel Rafael,Mayoría Relativa,Distrito Federal,2,Gustavo A. Madero,E-160
62-46,Rosas Montero Lizbeth Eugenia,Mayoría Relativa,Distrito Federal,1,Gustavo A. Madero,P-504
62-45,Velázquez Ramírez Diana Karina,Mayoría Relativa,Chihuahua,9,Hidalgo del Parral,G-217
62-44,Domínguez Zepeda Pedro Ignacio,Mayoría Relativa,Chihuahua,8,Chihuahua,G-216
62-43,Athie Flores Kamel,Mayoría Relativa,Chihuahua,7,Cuauhtémoc,F-174
62-42,Castillo Rodríguez Minerva,Mayoría Relativa,Chihuahua,6,Chihuahua,G-218
62-41,Montes Alvarado Abraham,Mayoría Relativa,Chihuahua,5,Delicias,F-177
62-40,Murguía Lardizabal Luis Alfredo,Mayoría Relativa,Chihuahua,4,Juárez,G-215
62-94,Jorrín Lozano Victor Manuel,Mayoría Relativa,Guerrero,4,Acapulco,H-284
62-49,Morales López Carlos Augusto,Mayoría Relativa,Distrito Federal,4,Iztapalapa,G-231
62-276,Arroyo Ruíz Alma Jeanny,Mayoría Relativa,Veracruz,6,Papantla de Olarte,L-445
62-2,Jiménez Esquivel María Teresa,Mayoría Relativa,Aguascalientes,2,Aguascalientes,H-248
62-250,Astiazarán Gutiérrez Antonio Francisco,Mayoría Relativa,Sonora,4,Guaymas,A-012
62-253,Othón Zayas Máximo,Mayoría Relativa,Sonora,7,Navojoa,B-031
62-1,Moreno Montoya J. Pilar,Mayoría Relativa,Aguascalientes,1,Jesús María,A-009
62-6,Hirata Chico Gilberto Antonio,Mayoría Relativa,Baja California,3,Ensenada,C-069
62-7,Cabañas Aparicio María Elia,Mayoría Relativa,Baja California,4,Tijuana,C-067
62-4,Castillo Valdez Benjamin,Mayoría Relativa,Baja California,1,Mexicali,B-038
62-5,Schroeder Verdugo María Fernanda,Mayoría Relativa,Baja California,2,Mexicali,C-068
62-259,Sansores Sastré Antonio,Mayoría Relativa,Tabasco,6,Villahermosa,I-324
62-258,Medina Filigrana Marcos Rosendo,Mayoría Relativa,Tabasco,5,Paraíso,I-329
62-8,Gastélum Buenrostro Juan Manuel,Mayoría Relativa,Baja California,5,Tijuana,H-244
62-9,López Alvarado Jaime Chris,Mayoría Relativa,Baja California,6,Tijuana,H-267
62-95,Portillo Martínez Vicario,Mayoría Relativa,Guerrero,5,Tlapa,C-074
62-224,Campos Córdova Lisandro Arístides,Mayoría Relativa,Puebla,16,Ajalpan,M-486
62-225,Barcenas Nieves Delvim Fabiola,Mayoría Relativa,Querétaro,1,Cadereyta de Montes,M-492
62-226,Astudillo Suárez Ricardo,Mayoría Relativa,Querétaro,2,San Juan del Río,J-349
62-227,Aguilar Vega Marcos,Mayoría Relativa,Querétaro,3,Querétaro,C-062
62-220,Gordillo Castillo Néstor Octavio,Mayoría Relativa,Puebla,12,Heroica Puebla de Zaragoza,C-057
62-221,García Olmedo María del Rocío,Mayoría Relativa,Puebla,13,Atlixco,M-479
62-499,Garfias Gutiérrez Lucila,Representación proporcional,México,5,,C-066
62-498,Samperio Montaño Juan Ignacio,Representación proporcional,México,5,,H-283
62-152,Barrera Fortoul Laura,Mayoría Relativa,México,27,Metepec,I-312
62-496,Padilla Ramos Carla Alicia,Representación proporcional,México,5,,H-262
62-150,Román Bojórquez Jesús Tolentino,Mayoría Relativa,México,25,Chimalhuacán,L-448
62-494,Martínez Santillán Ma. del Carmen,Representación proporcional,Michoacán,5,,C-081
62-228,García Ramírez José Guadalupe,Mayoría Relativa,Querétaro,4,Santiago de Querétaro,F-163
62-157,Cruz Ramírez Arturo,Mayoría Relativa,México,32,Xico,D-106
62-491,Reyes Montiel Carla Guadalupe,Representación proporcional,México,5,,D-108
62-490,Porras Pérez Pedro,Representación proporcional,Hidalgo,5,,G-237
62-796,Escamilla Cerón Alberto Leónides,Mayoría Relativa,Yucatán,5,Ticul,D-104
62-797,Velázquez Vacio Erica del Carmen,Mayoría Relativa,Zacatecas,1,Fresnillo,K-379
62-659,González Vera Norma,Mayoría Relativa,México,34,Toluca,I-311
62-658,Reyes Galicia Maricruz,Mayoría Relativa,México,33,Chalco de Díaz Covarrubias,K-405
62-655,Vázquez Hernández Elizabeth,Mayoría Relativa,México,30,Nezahualcóyotl,A-017
62-654,Rosas Esparza Rodrigo,Mayoría Relativa,México,29,Nezahualcóyolt,H-275
62-346,Anaya Cortés Ricardo,Representación proporcional,Querétaro,2,,D-093
62-656,Mora Molina Francisco Antonio Eduardo,Mayoría Relativa,México,31,Nezahualcóyolt,B-046
62-651,Zepeda Escobar Shantall,Mayoría Relativa,México,26,Toluca de Lerdo,H-271
62-96,de Jesús Alejandro Carlos,Mayoría Relativa,Guerrero,6,Chilapa,K-410
62-653,Bardales Hernández María Gabriela,Mayoría Relativa,México,28,Zumpango de Ocampo,J-355
62-589,Baeza Vallejo María de Montserrat,Mayoría Relativa,Guanajuato,13,Valle de Santiago,J-333
62-492,Posadas Hernández Domitilo,Representación proporcional,México,5,,M-498
62-73,Mercado Gallegos Sonia Catalina,Mayoría Relativa,Durango,1,Victoria de Durango,A-015
62-819,Torres Lizarraga Carmen Julieta,Representación proporcional,Jalisco,1,,F-172
62-554,Sánchez Jiménez Ernesto Germán,Mayoría Relativa,Distrito Federal,9,Venustiano Carranza,H-274
62-956,González Rodríguez Danner,Representación proporcional,Guerrero,4,,G-238
62-779,Mavil Soto Ángel Abel,Mayoría Relativa,Veracruz,9,Coatepec,K-401
62-812,Franco de la Torre Brenda Alvany,Representación proporcional,Jalisco,1,,K-375
62-811,Arzola Godínez María Lucrecia,Representación proporcional,Baja California Sur,1,,D-086
62-97,Salgado Parra Jorge,Mayoría Relativa,Guerrero,7,Chilpancingo de los Bravo,H-273
62-1002,Flores Ortega Rodríguez Liliam Mara,Representación proporcional,México,5,,K-391
62-1003,Velasco Pérez Juan Carlos,Representación proporcional,Michoacán,5,,F-183
62-1005,Ruiz Fraga María,Representación proporcional,Michoacán,5,,F-182
62-310,Dorador Pérez Gavilán Rodolfo,Representación proporcional,Durango,1,,E-128
62-311,Zamora García Alfredo,Representación proporcional,Baja California Sur,1,,D-086
62-312,Licea González Margarita,Representación proporcional,Jalisco,1,,K-375
62-313,Neblina Vega Heberto,Representación proporcional,Sonora,1,,E-129
62-314,Morgan Navarrete Tania Margarita,Representación proporcional,Sinaloa,1,,H-245
62-315,Botello Montes José Alfredo,Representación proporcional,Querétaro,2,,E-122
62-316,Beltrones Rivera Manlio Fabio,Representación proporcional,Sonora,1,,I-309
62-317,Quiñones Canales Lourdes Eulalia,Representación proporcional,Durango,1,,H-265
62-32,Ramírez Aguilar Oscar Eduardo,Mayoría Relativa,Chiapas,8,Comitán de Domínguez,K-346
62-33,Pariente Gavito María del Rosario de Fátima,Mayoría Relativa,Chiapas,9,Tuxtla Gutiérrez,H-261
62-30,Ochoa Gallegos Williams Oswaldo,Mayoría Relativa,Chiapas,6,Tuxtla Gutiérrez,G-223
62-407,Serrano Toledo Rosendo,Representación proporcional,Oaxaca,3,,F-190
62-400,Valanci Buzali Simón,Representación proporcional,Chiapas,3,,K-383
62-37,Fuentes Téllez Adriana,Mayoría Relativa,Chihuahua,1,Juárez,F-175
62-34,Narcia Alvarez Héctor,Mayoría Relativa,Chiapas,10,Villaflores,K-388
62-403,León Mendívil José Antonio,Representación proporcional,Veracruz,3,,E-156
62-38,Duarte Murillo José Ignacio,Mayoría Relativa,Chihuahua,2,Ciudad Juárez,F-176
62-39,Angulo Parra Carlos Fernando,Mayoría Relativa,Chihuahua,3,Juárez,I-290
62-408,Borges Pasos Teresita de Jesús,Representación proporcional,Yucatán,3,,C-078
62-409,Cuevas Mena Mario Alejandro,Representación proporcional,Yucatán,3,,C-073
62-322,Flores Sandoval Patricio,Representación proporcional,Jalisco,1,,L-437
62-156,Bautista López Victor Manuel,Mayoría Relativa,México,31,Nezahualcóyolt,B-046
62-292,Sosa Altamira William Renan,Mayoría Relativa,Yucatán,1,Valladolid,D-105
62-283,Serralde Martínez Víctor,Mayoría Relativa,Veracruz,13,Huatusco,E-125
62-326,Pacheco Rodríguez Ricardo Fidel,Representación proporcional,Durango,1,,A-014
62-257,Gaudiano Rovirosa Gerardo,Mayoría Relativa,Tabasco,4,Centro,I-323
62-145,Navarrete Contreras Joaquina,Mayoría Relativa,México,20,Nezahualcóyotl,A-020
62-144,Ugalde Alegría Aurora Denisse,Mayoría Relativa,México,19,Tlalnepantla de Baz,F-185
62-147,Gualito Castañeda Rosalba,Mayoría Relativa,México,22,Naucalpan de Juárez,F-187
62-928,Martínez Gutiérrez María Alicia,Representación proporcional,Morelos,4,,D-083
62-141,Ponce Orozco Norma,Mayoría Relativa,México,16,Ecatepec de Morelos,H-272
62-348,Salinas Garza José Arturo,Representación proporcional,Nuevo León,2,,D-090
62-143,Maldonado Hernández Fernando Alfredo,Mayoría Relativa,México,18,Huixquilucan de Degollado,H-270
62-142,Salazar Trejo Jessica,Mayoría Relativa,México,17,Ecatepec de Morelos,D-107
62-923,Medina Valdes María de Lourdes,Representación proporcional,Quintana Roo,4,,D-087
62-598,Tapia Bustos Manuel Francisco,Mayoría Relativa,Guerrero,8,Ayutla de los Libres,G-232
62-913,Hernández Martínez María de Jesús,Representación proporcional,Veracruz,3,,C-080
62-149,González Martínez Olivares Irazema,Mayoría Relativa,México,24,Naucalpán de Juárez,G-224
62-645,Gutu Deskens Alejandra,Mayoría Relativa,México,20,Nezahualcóyotl,A-020
62-823,López Segura María Carmen,Representación proporcional,Baja California,1,,C-070
62-738,León Andablo Ma. Merced,Mayoría Relativa,San Luis Potosí,7,Tamazunchale,M-464
62-379,Bribiesca Sahagún Fernando,Representación proporcional,Guanajuato,2,,A-007
62-820,Ruíz Gutiérrez Adán David,Representación proporcional,Baja California,1,,B-040
62-732,Martínez Martínez Hermelinda,Mayoría Relativa,San Luis Potosí,1,Matehuala,M-465
62-733,Moreno Alvarado María Estela,Mayoría Relativa,San Luis Potosí,2,Soledad de Graciano Sánchez,M-467
62-731,Verde Avendaño Milkdret Marina,Mayoría Relativa,Quintana Roo,3,Cancún,B-042
62-736,Pérez Covarrubias Jorge Alfredo,Mayoría Relativa,San Luis Potosí,5,San Luis Potosí,D-085
62-737,Contreras Rojas José Luis,Mayoría Relativa,San Luis Potosí,6,San Luis Potosí,B-030
62-734,Martínez Meléndez José Luis,Mayoría Relativa,San Luis Potosí,3,Ríoverde,M-466
62-735,Etienne Rivera Antolín,Mayoría Relativa,San Luis Potosí,4,Ciudad Valles,M-468
62-439,Morales Vargas Trinidad Secundino,Representación proporcional,Distrito Federal,4,,E-154
62-438,Mojica Morga Teresa de Jesús,Representación proporcional,Guerrero,4,,E-148
62-532,Guillén Guillén Mario Francisco,Mayoría Relativa,Chiapas,8,Comitán de Domínguez,J-341
62-435,Villaseñor Vargas Paloma,Representación proporcional,Distrito Federal,4,,H-255
62-434,López Zavala Javier,Representación proporcional,Puebla,4,,M-485
62-437,Moreno Rivera Julio César,Representación proporcional,Distrito Federal,4,,P-509
62-436,Muñoz Kapamas Felipe de Jesús,Representación proporcional,Distrito Federal,4,,H-256
62-431,Velázquez Sánchez Maricela,Representación proporcional,Morelos,4,,J-350
62-430,Aceves y del Olmo Carlos Humberto,Representación proporcional,Distrito Federal,4,,H-264
62-433,Córdova Morán Frine Soraya,Representación proporcional,Puebla,4,,M-487
62-432,Añorve Baños Manuel,Representación proporcional,Guerrero,4,,I-308
62-54,Moreno Rivera Israel,Mayoría Relativa,Distrito Federal,9,Venustiano Carranza,H-274
62-55,Barrios Gómez Segués Agustín,Mayoría Relativa,Distrito Federal,10,Miguel Hidalgo,L-458
62-56,Espinosa Cházaro Luis Ángel Xariel,Mayoría Relativa,Distrito Federal,11,Venustiano Carranza,D-111
62-57,Muñoz Soria José Luis,Mayoría Relativa,Distrito Federal,12,Cuauhtémoc,K-413
62-50,Hurtado Gallegos José Antonio,Mayoría Relativa,Distrito Federal,5,Tlalpan,H-285
62-51,Jardines Fraire Jhonatan,Mayoría Relativa,Distrito Federal,6,Gustavo A. Madero,D-114
62-52,Águila Torres Claudia Elena,Mayoría Relativa,Distrito Federal,7,Gustavo A. Madero,C-075
62-53,Carbajal González Alejandro,Mayoría Relativa,Distrito Federal,8,Cuauhtémoc,K-409
62-466,Mondragón González Ma. Guadalupe,Representación proporcional,México,5,,G-208
62-58,Reyes Gámiz Roberto Carlos,Mayoría Relativa,Distrito Federal,13,Iztacalco,B-044
62-59,Mícher Camarena Martha Lucía,Mayoría Relativa,Distrito Federal,14,Tlalpan,H-277
62-753,Arana Lugo Francisca Rosario,Mayoría Relativa,Sonora,7,Navojoa,B-031
62-602,Avilés Cano Edith,Mayoría Relativa,Hidalgo,3,Actopan,F-181
62-48,Cuéllar Reyes Fernando,Mayoría Relativa,Distrito Federal,3,Azcapotzalco,F-196
62-615,Reynoso Castellanos Lucía,Mayoría Relativa,Jalisco,9,Guadalajara,L-430
62-155,Bautista Bravo Alliet Mariana,Mayoría Relativa,México,30,Nezahualcóyotl,A-017
62-218,Lorenzini Rangel Julio Cesar,Mayoría Relativa,Puebla,10,Cholula de Rivadavia,E-127
62-237,Almaguer Torres Felipe de Jesús,Mayoría Relativa,San Luis Potosí,6,San Luis Potosí,B-030
62-236,Azuara Zúñiga Xavier,Mayoría Relativa,San Luis Potosí,5,San Luis Potosí,P-506
62-235,Terán Juárez Jorge,Mayoría Relativa,San Luis Potosí,4,Ciudad Valles,M-468
62-234,Bautista Villegas Oscar,Mayoría Relativa,San Luis Potosí,3,Ríoverde,M-466
62-233,Martínez Cárdenas Esther Angélica,Mayoría Relativa,San Luis Potosí,2,Soledad de Graciano Sánchez,M-467
62-232,Nava Gómez José Everardo,Mayoría Relativa,San Luis Potosí,1,Matehuala,M-465
62-231,Saldaña Fraire Graciela,Mayoría Relativa,Quintana Roo,3,Cancún,P-508
62-467,Rivera Villanueva Erick Marte,Representación proporcional,Hidalgo,5,,K-373
62-549,González Hinojosa Pedro,Mayoría Relativa,Distrito Federal,4,Iztapalapa,G-231
62-1008,Godínez Mendiola Alfonso,Representación proporcional,México,5,,L-449
62-485,Salinas Pérez Josefina,Representación proporcional,México,5,,B-045
62-239,Padilla Fierro Roman Alfredo,Mayoría Relativa,Sinaloa,1,El Fuerte,G-214
62-238,Terán Guevara María Rebeca,Mayoría Relativa,San Luis Potosí,7,Tamazunchale,M-464
62-629,Flores Vázquez Elizabeth,Mayoría Relativa,México,4,Nicolás Romero,I-314
62-785,Del Bosque Márquez Juan Isidro,Mayoría Relativa,Veracruz,15,Orizaba,L-447
62-252,Félix Chávez Faustino,Mayoría Relativa,Sonora,6,Cd. Obregón,A-010
62-782,Osorno Malpica Damaris,Mayoría Relativa,Veracruz,12,Veracruz,B-025
62-781,Peña Recio Patricia Guadalupe,Mayoría Relativa,Veracruz,11,Coatzacoalcos,J-361
62-3,González Serna José Ángel,Mayoría Relativa,Aguascalientes,3,Aguascalientes,A-002
62-255,Brito Lara Tomás,Mayoría Relativa,Tabasco,2,Heroica Cárdenas,I-328
62-624,Mestas Gallardo Ignacio,Mayoría Relativa,Jalisco,18,Autlán de Navarro,L-429
62-289,Garay Cabada Marina,Mayoría Relativa,Veracruz,19,San Andrés Tuxtla,L-444
62-474,Mayorga Delgado Nuvia Magdalena,Representación proporcional,Hidalgo,5,,F-181
62-643,Ortíz Ortega Silvana,Mayoría Relativa,México,18,Huixquilucan de Degollado,H-270
62-197,Treviño Villarreal Pedro Pablo,Mayoría Relativa,Nuevo León,12,Cadereyta Jiménez,M-476
62-902,León Montero Saraí Larisa,Representación proporcional,Oaxaca,3,,B-043
62-464,González Morfín José,Representación proporcional,Michoacán,5,,E-135
62-195,Larrazabal Bretón Fernando Alejandro,Mayoría Relativa,Nuevo León,10,Monterrey,J-330
62-211,Díaz Palacios Víctor Emanuel,Mayoría Relativa,Puebla,3,Teziutlán,M-491
62-256,Méndez Denis Lorena,Mayoría Relativa,Tabasco,3,Comalcalco,I-325
62-359,Cano Ayala Ma. Elena,Representación proporcional,Guanajuato,2,,E-141
62-123,Magaña Zepeda María Angélica,Mayoría Relativa,Jalisco,17,Jocotepec,L-428
62-122,Córdova Díaz Luis Armando,Mayoría Relativa,Jalisco,16,Tlaquepaque,L-432
62-121,Niaves López Ossiel Omar,Mayoría Relativa,Jalisco,15,La Barca,L-434
62-832,Mares Cossío Héctor Ireneo,Representación proporcional,Baja California,1,,A-024
62-127,Liceaga Arteaga Gerardo Francisco,Mayoría Relativa,México,2,Teoloyucan,G-228
62-126,Sámano Peralta Miguel,Mayoría Relativa,México,1,Jilotepec de Andrés Molina Enríquez,M-493
62-125,Barajas del Toro Salvador,Mayoría Relativa,Jalisco,19,Ciudad Guzmán,K-390
62-124,Gómez Michel Gabriel,Mayoría Relativa,Jalisco,18,Autlán de Navarro,L-429
62-129,Carreño Mijares Angelina,Mayoría Relativa,México,4,Nicolás Romero,I-314
62-128,Rangel Espinosa José,Mayoría Relativa,México,3,Atlacomulco de Fabela,F-185
62-484,Montalvo Hernández Ramón,Representación proporcional,México,5,,D-109
62-194,González Valdez Marco Antonio,Mayoría Relativa,Nuevo León,9,Linares,K-376
62-83,Velázquez Díaz María Guadalupe,Mayoría Relativa,Guanajuato,7,San Francisco del Rincón,E-142
62-82,Pérez Hernández Rosa Elba,Mayoría Relativa,Guanajuato,6,León,H-263
62-81,Rodríguez Vallejo Diego Sinhué,Mayoría Relativa,Guanajuato,5,León,G-204
62-465,Álvarez Tovar Martha Berenice,Representación proporcional,Michoacán,5,,J-332
62-87,Navarrete Vital Ma. Concepción,Mayoría Relativa,Guanajuato,11,Pénjamo,E-140
62-193,Robledo Leal Ernesto Alfonso,Mayoría Relativa,Nuevo León,8,Guadalupe,C-061
62-85,Rangel Segovia Alejandro,Mayoría Relativa,Guanajuato,9,Irapuato,E-143
62-174,Quintana León Socorro de la Luz,Mayoría Relativa,Michoacán,9,Uruapán,I-295
62-89,Oviedo Herrera J. Jesús,Mayoría Relativa,Guanajuato,13,Valle de Santiago,J-333
62-88,Camarena García Felipe Arturo,Mayoría Relativa,Guanajuato,12,Celaya,I-299
62-519,Vega de la Peña Alfio,Mayoría Relativa,Coahuila,4,Saltillo,L-427
62-198,Soto Martínez José,Mayoría Relativa,Oaxaca,1,San Juan Bautista Tuxtepec,G-240
62-199,Martínez Martínez Juan Luis,Mayoría Relativa,Oaxaca,2,Teotitlán de Flores Magón,F-201
62-512,Villarreal Rangel Martha Guadalupe,Mayoría Relativa,Baja California Sur,1,Santa Rosalía,I-292
62-513,Estrada Martínez Heidy Guadalupe,Mayoría Relativa,Baja California Sur,2,La Paz,M-460
62-459,Fujiwara Montelongo René Ricardo,Representación proporcional,Distrito Federal,4,,B-037
62-458,Córdova Bernal Martha Beatriz,Representación proporcional,Chihuahua,1,,F-199
62-516,Flores Treviño María de Lourdes,Mayoría Relativa,Coahuila,1,Piedras Negras,L-425
62-515,Ramagnoli Sosa Erika del Carmen,Mayoría Relativa,Campeche,2,Ciudad del Carmen,L-421
62-453,Martel Cantú Laura Ximena,Representación proporcional,Distrito Federal,4,,I-302
62-452,Orive Bellinger Adolfo,Representación proporcional,Distrito Federal,4,,D-116
62-451,Ortíz Ahlf Loretta,Representación proporcional,Distrito Federal,4,,A-050
62-450,Monreal Ávila Ricardo,Representación proporcional,Distrito Federal,4,,G-239
62-457,Huidobro González Zuleyma,Representación proporcional,Puebla,4,,F-197
62-456,Mejía Berdeja Ricardo,Representación proporcional,Guerrero,4,,G-238
62-455,Alcalde Luján Luisa María,Representación proporcional,Distrito Federal,4,,H-282
62-454,Escobar y Vega Arturo,Representación proporcional,Distrito Federal,4,,I-306
62-462,Rivadeneyra Hernández Alfredo,Representación proporcional,México,5,,D-091
62-388,Aquino Calvo Juan Jesús,Representación proporcional,Chiapas,3,,L-418
62-78,Villarreal García Ricardo,Mayoría Relativa,Guanajuato,2,San Miguel de Allende,F-165
62-557,Arriola Doroteo Erwin Francisco,Mayoría Relativa,Distrito Federal,12,Cuauhtémoc,K-413
62-76,Herrera Delgado Jorge,Mayoría Relativa,Durango,4,Durango,A-013
62-77,Barrera Barrera Petra,Mayoría Relativa,Guanajuato,1,San Luis de la Paz,E-144
62-74,Vitela Rodríguez Alma Marina,Mayoría Relativa,Durango,2,Gómez Palacio,A-016
62-75,Escajeda Jiménez José Rubén,Mayoría Relativa,Durango,3,Guadalupe Victoria,B-041
62-72,Flores Salazar Guadalupe Socorro,Mayoría Relativa,Distrito Federal,27,Tláhuac,K-412
62-158,Carbajal Hernández Juan Manuel,Mayoría Relativa,México,33,Chalco de Díaz Covarrubias,K-405
62-70,Amaya Reyes María de Lourdes,Mayoría Relativa,Distrito Federal,25,Iztapalapa,H-279
62-71,López Candido José Arturo,Mayoría Relativa,Distrito Federal,26,Magdalena Contreras,E-157
62-857,De León Pérez María Eugenia,Representación proporcional,Tamaulipas,2,,C-051
62-320,Castro Trenti Fernando Jorge,Representación proporcional,Baja California,1,,H-267
